,movieId,title,genres,tmdbId
0,1,Toy Story ,"Adventure,Animation,Children,Comedy,Fantasy",862.0
1,2,Jumanji ,"Adventure,Children,Fantasy",8844.0
2,3,Grumpier Old Men ,"Comedy,Romance",15602.0
3,4,Waiting to Exhale ,"Comedy,Drama,Romance",31357.0
4,5,Father of the Bride Part II ,Comedy,11862.0
5,6,Heat ,"Action,Crime,Thriller",949.0
6,7,Sabrina ,"Comedy,Romance",11860.0
7,8,Tom and Huck ,"Adventure,Children",45325.0
8,9,Sudden Death ,Action,9091.0
9,10,GoldenEye ,"Action,Adventure,Thriller",710.0
10,11,"American President, The ","Comedy,Drama,Romance",9087.0
11,12,Dracula: Dead and Loving It ,"Comedy,Horror",12110.0
12,13,Balto ,"Adventure,Animation,Children",21032.0
13,14,Nixon ,Drama,10858.0
14,15,Cutthroat Island ,"Action,Adventure,Romance",1408.0
15,16,Casino ,"Crime,Drama",524.0
16,17,Sense and Sensibility ,"Drama,Romance",4584.0
17,18,Four Rooms ,Comedy,5.0
18,19,Ace Ventura: When Nature Calls ,Comedy,9273.0
19,20,Money Train ,"Action,Comedy,Crime,Drama,Thriller",11517.0
20,21,Get Shorty ,"Comedy,Crime,Thriller",8012.0
21,22,Copycat ,"Crime,Drama,Horror,Mystery,Thriller",1710.0
22,23,Assassins ,"Action,Crime,Thriller",9691.0
23,24,Powder ,"Drama,Sci-Fi",12665.0
24,25,Leaving Las Vegas ,"Drama,Romance",451.0
25,26,Othello ,Drama,16420.0
26,27,Now and Then ,"Children,Drama",9263.0
27,28,Persuasion ,"Drama,Romance",17015.0
28,29,"City of Lost Children, The (Cité des enfants perdus, La) ","Adventure,Drama,Fantasy,Mystery,Sci-Fi",902.0
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,"Crime,Drama",37557.0
30,31,Dangerous Minds ,Drama,9909.0
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,"Mystery,Sci-Fi,Thriller",63.0
32,33,Wings of Courage ,"Adventure,Romance,IMAX",78802.0
33,34,Babe ,"Children,Drama",9598.0
34,35,Carrington ,"Drama,Romance",47018.0
35,36,Dead Man Walking ,"Crime,Drama",687.0
36,37,Across the Sea of Time ,"Documentary,IMAX",139405.0
37,38,It Takes Two ,"Children,Comedy",33689.0
38,39,Clueless ,"Comedy,Romance",9603.0
39,40,"Cry, the Beloved Country ",Drama,34615.0
40,41,Richard III ,"Drama,War",31174.0
41,42,Dead Presidents ,"Action,Crime,Drama",11443.0
42,43,Restoration ,Drama,35196.0
43,44,Mortal Kombat ,"Action,Adventure,Fantasy",9312.0
44,45,To Die For ,"Comedy,Drama,Thriller",577.0
45,46,How to Make an American Quilt ,"Drama,Romance",11861.0
46,47,Seven (a.k.a. Se7en) ,"Mystery,Thriller",807.0
47,48,Pocahontas ,"Animation,Children,Drama,Musical,Romance",10530.0
48,49,When Night Is Falling ,"Drama,Romance",8391.0
49,50,"Usual Suspects, The ","Crime,Mystery,Thriller",629.0
50,51,Guardian Angel ,"Action,Drama,Thriller",117164.0
51,52,Mighty Aphrodite ,"Comedy,Drama,Romance",11448.0
52,53,Lamerica ,"Adventure,Drama",49133.0
53,54,"Big Green, The ","Children,Comedy",26441.0
54,55,Georgia ,Drama,97406.0
55,56,Kids of the Round Table ,"Adventure,Children,Fantasy",124057.0
56,57,Home for the Holidays ,Drama,9089.0
57,58,"Postman, The (Postino, Il) ","Comedy,Drama,Romance",11010.0
58,59,"Confessional, The (Confessionnal, Le) ","Drama,Mystery",99040.0
59,60,"Indian in the Cupboard, The ","Adventure,Children,Fantasy",11359.0
60,61,Eye for an Eye ,"Drama,Thriller",17182.0
61,62,Mr. Holland's Opus ,Drama,2054.0
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,"Comedy,Crime",10607.0
63,64,Two if by Sea ,"Comedy,Romance",19760.0
64,65,Bio-Dome ,Comedy,9536.0
65,66,Lawnmower Man 2: Beyond Cyberspace ,"Action,Sci-Fi,Thriller",11525.0
66,67,Two Bits ,Drama,40628.0
67,68,French Twist (Gazon maudit) ,"Comedy,Romance",4482.0
68,69,Friday ,Comedy,10634.0
69,70,From Dusk Till Dawn ,"Action,Comedy,Horror,Thriller",755.0
70,71,Fair Game ,Action,11859.0
71,72,Kicking and Screaming ,"Comedy,Drama",28387.0
72,73,"Misérables, Les ","Drama,War",48750.0
73,74,Bed of Roses ,"Drama,Romance",20927.0
74,75,Big Bully ,"Comedy,Drama",36929.0
75,76,Screamers ,"Action,Sci-Fi,Thriller",9102.0
76,77,Nico Icon ,Documentary,124626.0
77,78,"Crossing Guard, The ","Action,Crime,Drama,Thriller",27526.0
78,79,"Juror, The ","Drama,Thriller",9623.0
79,80,"White Balloon, The (Badkonake sefid) ","Children,Drama",46785.0
80,81,Things to Do in Denver When You're Dead ,"Crime,Drama,Romance",400.0
81,82,Antonia's Line (Antonia) ,"Comedy,Drama",880.0
82,83,Once Upon a Time... When We Were Colored ,"Drama,Romance",146599.0
83,84,Last Summer in the Hamptons ,"Comedy,Drama",188588.0
84,85,Angels and Insects ,"Drama,Romance",8447.0
85,86,White Squall ,"Action,Adventure,Drama",10534.0
86,87,Dunston Checks In ,"Children,Comedy",17414.0
87,88,Black Sheep ,Comedy,13997.0
88,89,Nick of Time ,"Action,Thriller",2086.0
89,90,"Journey of August King, The ",Drama,61548.0
90,92,Mary Reilly ,"Drama,Horror,Thriller",9095.0
91,93,Vampire in Brooklyn ,"Comedy,Horror,Romance",12158.0
92,94,Beautiful Girls ,"Comedy,Drama,Romance",9283.0
93,95,Broken Arrow ,"Action,Adventure,Thriller",9208.0
94,96,In the Bleak Midwinter ,"Comedy,Drama",40154.0
95,97,"Hate (Haine, La) ","Crime,Drama",406.0
96,98,Shopping ,"Action,Thriller",45549.0
97,99,Heidi Fleiss: Hollywood Madam ,Documentary,63076.0
98,100,City Hall ,"Drama,Thriller",11062.0
99,101,Bottle Rocket ,"Adventure,Comedy,Crime,Romance",13685.0
100,102,Mr. Wrong ,Comedy,47475.0
101,103,Unforgettable ,"Mystery,Sci-Fi,Thriller",2045.0
102,104,Happy Gilmore ,Comedy,9614.0
103,105,"Bridges of Madison County, The ","Drama,Romance",688.0
104,106,Nobody Loves Me (Keiner liebt mich) ,"Comedy,Drama",11907.0
105,107,Muppet Treasure Island ,"Adventure,Children,Comedy,Musical",10874.0
106,108,Catwalk ,Documentary,89333.0
107,109,Headless Body in Topless Bar ,"Comedy,Drama,Thriller",96357.0
108,110,Braveheart ,"Action,Drama,War",197.0
109,111,Taxi Driver ,"Crime,Drama,Thriller",103.0
110,112,Rumble in the Bronx (Hont faan kui) ,"Action,Adventure,Comedy,Crime",33542.0
111,113,Before and After ,"Drama,Mystery",43566.0
112,114,Margaret's Museum ,Drama,71754.0
113,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) ",Comedy,43612.0
114,116,Anne Frank Remembered ,Documentary,51352.0
115,117,"Young Poisoner's Handbook, The ","Crime,Drama",16934.0
116,118,If Lucy Fell ,"Comedy,Romance",10324.0
117,119,"Steal Big, Steal Little ",Comedy,78406.0
118,120,Race the Sun ,"Adventure,Comedy,Drama",55731.0
119,121,"Boys of St. Vincent, The ",Drama,32119.0
120,122,Boomerang ,"Comedy,Romance",11066.0
121,123,Chungking Express (Chung Hing sam lam) ,"Drama,Mystery,Romance",11104.0
122,124,"Star Maker, The (Uomo delle stelle, L') ",Drama,37975.0
123,125,Flirting With Disaster ,Comedy,2074.0
124,126,"NeverEnding Story III, The ","Adventure,Children,Fantasy",27793.0
125,127,"Silences of the Palace, The (Saimt el Qusur) ",Drama,44284.0
126,128,Jupiter's Wife ,Documentary,290157.0
127,129,Pie in the Sky ,"Comedy,Romance",110972.0
128,130,Angela ,Drama,32622.0
129,131,Frankie Starlight ,"Drama,Romance",73067.0
130,132,Jade ,Thriller,11863.0
131,133,Nueba Yol ,"Comedy,Drama",55475.0
132,134,Sonic Outlaws ,Documentary,124636.0
133,135,Down Periscope ,Comedy,9101.0
134,136,From the Journals of Jean Seberg ,Documentary,123360.0
135,137,Man of the Year ,Documentary,5757.0
136,138,"Neon Bible, The ",Drama,39428.0
137,139,Target ,"Action,Drama",124639.0
138,140,Up Close and Personal ,"Drama,Romance",9302.0
139,141,"Birdcage, The ",Comedy,11000.0
140,142,Shadows (Cienie) ,Drama,
141,143,Gospa ,Drama,249882.0
142,144,"Brothers McMullen, The ",Comedy,16388.0
143,145,Bad Boys ,"Action,Comedy,Crime,Drama,Thriller",9737.0
144,146,"Amazing Panda Adventure, The ","Adventure,Children",30765.0
145,147,"Basketball Diaries, The ",Drama,10474.0
146,148,"Awfully Big Adventure, An ",Drama,22279.0
147,149,Amateur ,"Crime,Drama,Thriller",30157.0
148,150,Apollo 13 ,"Adventure,Drama,IMAX",568.0
149,151,Rob Roy ,"Action,Drama,Romance,War",11780.0
150,152,"Addiction, The ","Drama,Horror",34996.0
151,153,Batman Forever ,"Action,Adventure,Comedy,Crime",414.0
152,154,Beauty of the Day (Belle de jour) ,Drama,649.0
153,155,Beyond Rangoon ,"Adventure,Drama,War",1873.0
154,156,Blue in the Face ,"Comedy,Drama",5894.0
155,157,Canadian Bacon ,"Comedy,War",1775.0
156,158,Casper ,"Adventure,Children",8839.0
157,159,Clockers ,"Crime,Drama,Mystery",20649.0
