,movieId,title,genres,imdbId,tmdbId
0,1,Toy Story ,"Adventure,Animation,Children,Comedy,Fantasy",114709,862.0
1,2,Jumanji ,"Adventure,Children,Fantasy",113497,8844.0
2,3,Grumpier Old Men ,"Comedy,Romance",113228,15602.0
3,4,Waiting to Exhale ,"Comedy,Drama,Romance",114885,31357.0
4,5,Father of the Bride Part II ,Comedy,113041,11862.0
5,6,Heat ,"Action,Crime,Thriller",113277,949.0
6,7,Sabrina ,"Comedy,Romance",114319,11860.0
7,8,Tom and Huck ,"Adventure,Children",112302,45325.0
8,9,Sudden Death ,Action,114576,9091.0
9,10,GoldenEye ,"Action,Adventure,Thriller",113189,710.0
10,11,"American President, The ","Comedy,Drama,Romance",112346,9087.0
11,12,Dracula: Dead and Loving It ,"Comedy,Horror",112896,12110.0
12,13,Balto ,"Adventure,Animation,Children",112453,21032.0
13,14,Nixon ,Drama,113987,10858.0
14,15,Cutthroat Island ,"Action,Adventure,Romance",112760,1408.0
15,16,Casino ,"Crime,Drama",112641,524.0
16,17,Sense and Sensibility ,"Drama,Romance",114388,4584.0
17,18,Four Rooms ,Comedy,113101,5.0
18,19,Ace Ventura: When Nature Calls ,Comedy,112281,9273.0
19,20,Money Train ,"Action,Comedy,Crime,Drama,Thriller",113845,11517.0
20,21,Get Shorty ,"Comedy,Crime,Thriller",113161,8012.0
21,22,Copycat ,"Crime,Drama,Horror,Mystery,Thriller",112722,1710.0
22,23,Assassins ,"Action,Crime,Thriller",112401,9691.0
23,24,Powder ,"Drama,Sci-Fi",114168,12665.0
24,25,Leaving Las Vegas ,"Drama,Romance",113627,451.0
25,26,Othello ,Drama,114057,16420.0
26,27,Now and Then ,"Children,Drama",114011,9263.0
27,28,Persuasion ,"Drama,Romance",114117,17015.0
28,29,"City of Lost Children, The (Cité des enfants perdus, La) ","Adventure,Drama,Fantasy,Mystery,Sci-Fi",112682,902.0
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,"Crime,Drama",115012,37557.0
30,31,Dangerous Minds ,Drama,112792,9909.0
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,"Mystery,Sci-Fi,Thriller",114746,63.0
32,33,Wings of Courage ,"Adventure,Romance,IMAX",114952,78802.0
